Africa	n. 非洲
choice	adj. 上等的;中上级的\nn. 选择;选择时机
choke	n. 窒息;阻塞门\nv. 扑灭;塞满
cholera	n. 胆汁;霍乱
choleric	adj. 霍乱的;激怒的
choose	v. 情愿;欲;挑选
chop	n. 砍击;杀死\nv. 砍;剁
chopper	n. 斧头;砍者
chopsticks	n. 筷子;筷子曲调
chord	n. 索;弦;和弦
chore	n. 家庭杂务
chorus	n. 副歌;合唱\nv. 副歌
christen	v. 给...命名;为...施洗礼
chrome	n. 铬;铬媒\nv. 将...镀铬
chromium	n. 铬
chromosome	n. 染色体
chronic	adj. 长期的;慢性的\nn. 慢性病病人
chronicle	n. 编年史\nv. 记录
chronology	n. 年表;年代学
chubby	adj. 圆脸的
chuck	n. 轻击;扔\nv. 放弃;扔
chuckle	n. 咕咕叫;轻笑\nv. 暗笑;狂喜
chug	n. 嘎嚓声\nv. 发嘎嚓声
church	n. 礼拜;礼拜堂
churchyard	n. 墓地
churlish	adj. 粗暴的;吝啬的
churn	n. 搅乳器;桶\nv. 过度买卖;剧烈搅动
chute	n. 陡坡;急流
cicada	n. 蝉
cider	n. 果汁;苹果汁
cigar	n. 雪茄烟
cigarette	n. 香烟
cinder	n. 熔渣;炭渣
cinema	n. 电影;电影院
cinnamon	adj. 肉桂色的\nn. 桂皮;浅红褐色
cipher	n. 密码;密码文件\nv. 计算;琢磨
circa	prep. 大约在
circle	n. 环状物;圆\nv. 绕过;围着
circuit	n. 环道;环行\nv. 绕...环行;环行
circuitry	n. 电路;电路学
circular	adj. 循环的;圆的\nn. 供传阅的函件
circulate	v. 散布;环行;
circumcise	v. 净;为...行割礼
circumvent	v. 环绕;绕过
circus	n. 杂技场;马戏团
cirrus	n. 触毛;卷须
cistern	n. 水塘;贮水器
citadel	n. 城堡;装甲区
citation	n. 表彰;引用
citizen	n. 公民;平民
citron	n. 香橼色;枸橼
city	n. 城市;全市居民
civic	adj. 城市的;公民的
civil	adj. 公民的;国内的
civilian	n. 民法专家;平民
civility	n. 礼貌;礼仪
civilize	v. 教化;使文明
clack	n. 喋喋不休的说话声\nv. 咯咯地叫;喋喋不休
claim	n. 权利;要求\nv. 要求;主张
clam	n. 蛤;抓斗\nv. 挖蛤
clamber	n. 爬\nv. 爬;攀缘
clammy	adj. 冷而湿的;冷漠的
clamour	n. 吵闹声;噪声\nv. 吵闹;使寂静
clamp	n. 夹子;控制\nv. 夹紧;重踩
clang	n. 尖叫声;喇叭声\nv. 使铿锵响;叮当而过
clank	n. 丁当声\nv. 丁当而过;发丁当声
clap	n. 拍;拍手\nv. 拍;拍手
claret	adj. 暗紫红色的\nn. 红酒;血
clarify	v. 澄清;净化
clarinet	n. 单簧管;单簧管手
clarion	adj. 嘹亮的\nn. 尖音小号;尖音音栓\nv. 发出响亮的声音
clarity	n. 清澈;清晰
clash	n. 不协调;冲突\nv. 猛力扔;撞击作
clasp	n. 紧抱;扣子\nv. 抱紧;扣住
class	n. 班级;课
classic	adj. 仿古希腊;标准的;一流的\nn. 文豪;文学名著
classical	adj. 标准的;古典的
classify	v. 把...分类
classmate	n. 同班同学
classroom	n. 教室
classy	adj. 高级的
clatter	n. 喧哗声\nv. 咭咭呱呱地闲谈
clause	n. 从句;条款
clavicle	n. 锁骨
claw	n. 爪;螯\nv. 逮捕;抓
clay	n. 泥土;黏土
clean	adj. 纯洁的;清洁的\nadv. 干净地;完全地\nv. 剥光;被打扫
cleaner	n. 清洁工;清洁器\nclean的比较级
cleanly	adj. 干净的;清白的\nadv. 干净地;能干地
cleanse	v. 使纯净;医治
clear	adj. 纯色的;清晰的\nadv. 离开着;完全\nv. 扫清;变晴
clearance	n. 净空;清除;许可
cleavage	n. 裂缝;劈开
cleave	v. 穿过;砍开
clement	adj. 仁慈的;温和的
clergy	n. 神职人员
cleric	n. 预备修士
clerical	adj. 牧师的;职员的
clerk	n. 办事员;售货员\nv. 当售货员
clever	adj. 机敏的;灵巧的
cliche	adj. 陈腐的\nn. 陈词滥调;凸印版
click	n. 棘爪;吸气音\nv. 进行顺利;完全一致
client	n. 顾客;委托人
clientele	n. 顾客;扈从
cliff	n. 悬崖
climate	n. 风气;气候
climatic	adj. 气候的
climax	n. 顶点\nv. 达到顶点
climb	n. 爬升;攀登\nv. 攀登;爬
climber	n. 攀缘植物;攀缘者
clinch	n. 钳住对手;确定\nv. 确定;拥抱
cling	v. 挨近;粘着
clinic	n. 门诊部;专科医院
clinical	adj. 临床的;门诊部的
clink	n. 钱;押韵\nv. 啪地打;押韵
clip	n. 剪;弹夹\nv. 剪
clippers	n. 剪刀
clique	n. 派系
cloak	n. 斗篷;掩盖\nv. 掩盖
cloakroom	n. 厕所;衣帽间
cloche	n. 钟形女帽
clock	n. 示速计;钟\nv. 测...的时间;测出
clockwise	adj. 顺时针方向的\nadv. 顺时针方向地
clod	n. 块;泥土
clog	n. 脚坠;木屐\nv. 塞满;阻碍
cloister	n. 回廊;修道院\nv. 禁闭;设回廊于
close	adj. 紧的;近的\nadv. 接近地\nn. 结束;终止\nv. 关;关
closet	n. 橱;退避处\nv. 把...引进密室会谈
closure	n. 关闭;结束
clot	n. 呆子;凝块\nv. 聚集;凝结成块
cloth	n. 布;桌布
clothe	v. 覆盖;赋予
clothing	n. 帆装;衣服
cloud	n. 一大群;云\nv. 覆盖;弄暗
cloudy	adj. 多云的;云的
clout	n. 敲击;影响\nv. 猛击;敲击
clown	n. 乡下人;小丑\nv. 扮小丑
cloze	n. 填词练习
club	n. 大头棒;球棒\nv. 缴纳;捐献
cluck	n. 呆子;孵蛋鸡\nv. 表示关注;发咯咯声
clue	n. 提示词语;线索\nv. 为...提供线索
clump	n. 丛;堆\nv. 打;使成一丛
clumsy	adj. 不得体的;笨拙
cluster	n. 串;辅音丛\nv. 使成簇;丛生
clutch	n. 把握;攫取\nv. 紧抓;孵
clutter	n. 凌乱;杂乱回波\nv. 使凌乱
coach	n. 活动房屋;旅客车厢\nv. 训练;当教练
coagulate	adj. 凝结的\nv. 凝结
coal	n. 煤;煤块
coalesce	v. 使合并;联合
coalition	n. 结合;结合体
coarse	adj. 粗的;质量差的
coast	n. 海岸;滑行\nv. 绕...而行;滑行
coastal	adj. 海岸的
coastguard	n. 海岸警备队
coastline	n. 海岸线
coastwise	adj. 沿海岸的\nadv. 沿海岸
coat	n. 皮毛;上衣\nv. 在...上涂
coax	v. 爱抚;劝诱
coaxial	adj. 共轴的\nn. 同轴扬声器
cobble	n. 大卵石;中砾\nv. 修补
cobra	n. 眼镜蛇
cobweb	n. 陷阱;蜘蛛网
cocaine	n. 可卡因
cock	n. 公鸡;龙头\nv. 竖起;堆
cockaded	adj. 帽章的
cockatoo	n. 风头鹦鹉
cockerel	n. 小公鸡
cockroach	n. 蟑螂
cocksure	adj. 绝对肯定的
cocktail	adj. 鸡尾酒会的\nn. 合成物;鸡尾酒
cocoa	n. 可可粉;可可色
coconut	n. 椰子
cocoon	n. 茧;茧状物\nv. 作茧
cod	n. 鳕;荚\nv. 愚弄;愚弄
coddle	v. 悉心照料;用文火煮
code	n. 编号;编码\nv. 为...编码
codepage	n. 码页
codicil	n. 附加物;附录
codify	v. 编纂
coerce	v. 强制;抑制
coexist	v. 共存;和平共处
coffee	n. 咖啡;咖啡豆
coffer	n. 金库;箱子
coffin	n. 棺材;蹄槽\nv. 把...装进棺材
cog	n. 轮齿;雄榫\nv. 吻合;欺骗
cogent	adj. 有说服力的
cogitate	v. 仔细考虑
cognac	n. 白兰地
cognate	adj. 同源的\nn. 亲属;同源词
cognizance	n. 察知;注意
cogwheel	n. 嵌齿轮
cohabit	v. 共同存在;同居
cohere	v. 一致;黏合
coherent	adj. 一致的;有黏性的
cohesion	n. 团结;黏合
coil	n. 卷;盘管\nv. 卷
coin	n. 钱;硬币\nv. 发明;铸
coinage	n. 硬币;铸币
coincide	v. 同时发生;相符
coke	n. 焦;可卡因\nv. 焦化
cola	n. 可乐;可乐果树\ncolon的复数
colander	n. 罗;滤器;漏勺
cold	adj. 感觉冷的;冷的\nadv. 突然地;完全地\nn. 感冒;冷
colic	adj. 绞病的;结肠的\nn. 绞病
collapse	n. 崩溃;倒坍\nv. 崩溃;倒坍
collar	n. 颈圈;马轭\nv. 强留...谈话
collate	v. 检点;校对
collateral	adj. 并行;附属的\nn. 侧突;担保品
colleague	n. 同事
collect	v. 取;收
collected	adj. 镇定的;精神集中的
collection	n. 募捐;收集
collective	adj. 集体的;总的\nn. 集体农场;团体
collector	n. 收集者
college	n. 大学;职业学校
collegiate	adj. 大学的;社团的
collide	v. 冲突;碰撞
collier	n. 煤矿工人;运煤船
collision	n. 冲突;碰撞
colloquial	adj. 口语的\nn. 口语;口语体
colloquy	n. 谈话
collusion	n. 共谋
colon	n. 结肠;冒号
colonel	n. 长官;上校
colonial	adj. 殖民地的\nn. 殖民地居民
colonist	n. 移生动物
colonize	v. 使聚居;移植
colonnade	n. 成行的树;柱廊
colony	n. 移民队;殖民地
color	n. 颜色\nv. 变色;脸红
colored	adj. 有...色的;有颜色的\nn. 有色人种的人
colorful	adj. 富于色彩的
colorless	adj. 无色的;无血色的
colossal	adj. 巨大的;巨像的
colossus	n. 巨人;巨像
column	n. 支柱;纵队
columnist	n. 专栏作者
coma	n. 怠惰;昏迷
comatose	adj. 怠惰的;昏迷的
comb	n. 浪尖;梳\nv. 精梳;梳
combat	n. 战斗\nv. 与...战斗;战斗
combatant	adj. 好斗的\nn. 格斗者
combative	adj. 好斗的
combine	n. 联合;组合艺术\nv. 兼有;化合
combing	n. 精梳毛;梳
come	v. 搞;来
comedian	n. 滑稽演员;喜剧演员
comedienne	n. 女喜剧演员
comedy	n. 喜剧
comely	adj. 标致的;合宜的
comet	n. 珍种金鱼;彗星
comfort	n. 安慰;盖被\nv. 安慰;帮助
comic	adj. 滑稽的;喜剧的\nn. 滑稽的人;喜剧性
comical	adj. 古怪的;滑稽的
comity	n. 大家庭;礼让
comma	n. 逗号;停顿
command	n. 命令;指挥\nv. 俯临;命令
commandant	n. 指挥官
commandeer	v. 强占;征用
commander	n. 海军中校;指挥官
commando	n. 突击队
commence	v. 成为;开始
commend	v. 表扬;推荐
comment	n. 批评;闲话\nv. 评论;注释
commentary	n. 评论;实况报道
commerce	n. 交往;商业\nv. 交往
commercial	adj. 商品的;商业的\nn. 商业广告;宣传
commissar	n. 人民委员;委员
commission	n. 授权;委任状\nv. 委任;委托制作
commit	v. 把...托付给;犯
commitment	n. 交押;托付;诺言
committee	n. 促进会;委员会
commodious	adj. 宽敞的;在手边的
commodity	n. 商品;有用
commodore	n. 海军准将
common	adj. 公共的;普通的\nn. 共用牧地
commonly	adv. 粗俗地;通常地
commotion	n. 混乱;汹涌
communal	adj. 公有的;平民的
commune	n. 社区;市镇\nv. 商量;领受圣餐
communion	n. 共享;交流
communique	n. 公报
communism	n. 共产主义
communist	adj. 共产党的\nn. 共产主义者
community	n. 社会;团体
commutator	n. 换向器;交换者
commute	v. 改变;减轻
compact	adj. 集中的;结实的\nn. 小型客车;协定\nv. 压缩;变成结实
companion	n. 同伴;职业伴侣
company	n. 公司;群
comparable	adj. 比得上的;类似的
compare	v. 把...比作;比较
comparison	n. 比较;相似
compass	n. 界限;罗经\nv. 达到;围绕
compassion	n. 同情
compatible	adj. 亲和的;协调的
compatriot	n. 伙伴;同国人
compel	v. 强迫;强求
compendium	n. 概要;目录
compensate	v. 补偿;酬报
compere	n. 主持人\nv. 主持;当主持人
compete	v. 比赛;竞争
competence	n. 能力;权限
competent	adj. 有能力的;有效的
competitor	n. 竞争生物;竞争者
compile	v. 编辑;汇编
compiler	n. 编译程序;汇编者
complain	v. 抱怨;抗议
complaint	n. 抱怨;控告
complement	n. 补充;足数\nv. 补充;称赞
complete	adj. 十足的;完成的\nv. 使完美;完成
completion	n. 完成;圆满
complex	adj. 复合的;复杂的\nn. 情结;体系
complexion	n. 观点;局面;气色
complexity	n. 复杂
compliance	n. 柔量;顺从
compliant	adj. 遵从的
complicate	v. 并发;使卷入
complicity	n. 同谋关系
compliment	n. 敬意;问候\nv. 赞美;称赞
comply	v. 遵从
component	adj. 组成的\nn. 成分;分力
comport	n. 行为;高脚果盘\nv. 举动;一致
compose	v. 创作;收拾
composer	n. 调停者;作者;作曲家
composite	adj. 混合成的;混合的\nn. 合成数;合成物
compositor	n. 排字工人
compost	n. 堆肥;混合物\nv. 施堆肥于
composure	n. 性格;镇静
compote	n. 高脚果盘;蜜饯
compound	adj. 复合的;群体的\nn. 复合词;复合物\nv. 了结;化合
comprador	n. 买办;中间人
comprehend	v. 包含;理解
compress	n. 打包机;敷布\nv. 压紧;镇压
comprise	v. 包含;构成
compromise	n. 居间之物;妥协\nv. 连累;泄露
compulsion	n. 强迫;强制
compulsory	adj. 必须做的;强制的
compute	v. 计算
computer	n. 计算机;计算器
comrade	n. 伙伴;同人
comsat	n. 通信卫星
con	n. 骗局\nv. 熟读;骗
concave	adj. 凹的;中空的\nn. 凹面
conceal	v. 隐藏;隐瞒
concede	v. 承认;容许
conceit	n. 幻想;自负\nv. 夸赞;理解
conceive	v. 怀有;认为
concentric	n. 同心圆
concept	n. 发明;概念
conception	n. 构想;设计
concern	n. 公司;关心\nv. 涉及;使挂念
concerning	prep. 关于
concert	n. 和声;一致;音乐会\nv. 商议;协力
concerto	n. 协奏曲
concession	n. 让步;特许
conciliate	v. 博得;使和好
concise	adj. 简明的
conclave	n. 集会;秘密会议
conclude	v. 缔结;结束
conclusion	n. 结论;结尾
conclusive	adj. 决定性的;最后的
concoct	v. 编造;调合
concord	n. 和谐;协定
concourse	n. 汇合;人群
concrete	adj. 具体的;有形的\nn. 凝结物
concubine	n. 妾;姘妇
concur	v. 合作;同意
concurrent	adj. 合作的;同意的
concussion	n. 猛击;震荡
condemn	v. 判刑;谴责
condense	v. 聚集;冷凝
condenser	n. 电容器;凝汽室
condescend	v. 俯就;自我贬抑
condiment	n. 辛辣调味品
condition	n. 健康状况;状况\nv. 使健康;训练
condole	v. 悲痛;吊唁
condolence	n. 吊唁
condom	n. 阴茎套
condone	v. 抵消;宽恕
conduct	n. 处理;举止\nv. 表现;处理
conduction	n. 传导;输送
conductive	adj. 传导性的
conductor	n. 售票员;指挥
conduit	n. 导线管;渠道
cone	n. 圆锥体;孢子叶球\nv. 使成锥形;结球果
confection	n. 搀和;糖膏\nv. 把...制成糖果
confer	v. 比较;赋予
conference	n. 会议;讨论
confess	v. 坦白;忏悔
confession	n. 承认;忏悔
confide	v. 吐露;托付
confidence	n. 信任;信心
confident	adj. 确信的;有信心的
confine	n. 边界;地区\nv. 关押;限制
confirm	v. 巩固;证实
conflict	n. 冲突;战斗\nv. 冲突;战斗
confluence	n. 汇合;汇流
conform	v. 顺从;相似
conformity	n. 顺从;相似
confound	v. 混淆;使混乱
confront	v. 使面对;迎面遇到
confuse	v. 使混乱;使困惑
confusion	n. 困惑;骚乱
confute	v. 驳倒;使成泡影
congeal	v. 冻结;固定
congenial	adj. 协调的
congenital	adj. 十足的;天生的
congested	adj. 充血的;拥挤的
congregate	v. 使集合;集合
congress	n. 立法机关;下院
conical	n. 圆锥形
conjecture	n. 揣摩;解说\nv. 揣摩出;推测
conjugal	adj. 婚姻的
conjugate	adj. 成对的;结合的\nn. 共轭元素\nv. 结合;性交
conjure	v. 变魔术;施魔法
conjurer	n. 巫;责令者
connect	v. 联系;连接
connection	n. 联系;连接
connive	v. 密谋;共谋
connote	v. 暗示;包含
conquer	v. 攻取;破除
conqueror	n. 七叶树果;征服者
conquest	n. 掠取物;征服
conscience	n. 良心;意识
conscious	n. 意识;有意的
conscript	adj. 由应征入伍者组成的\nv. 应用;应召
consecrate	adj. 奉为神圣的\nv. 使神化
consensus	n. 合意;一致
consent	n. 融洽;同意\nv. 同意;一致
consequent	adj. 顺向的\nn. 后件;后项
conserve	n. 蜜饯;药物糖果\nv. 保护;使守恒
consider	v. 考虑;认为
consign	v. 留出;运送
consignee	n. 受托人
consist	v. 一致;在于
consistent	adj. 坚持的;一致的
console	n. 控制台\nv. 安慰
consonant	adj. 和谐的;一致的\nn. 音符
consort	n. 伙伴;僚舰\nv. 陪伴;娶
consortium	n. 合伙
conspiracy	n. 同谋;阴谋
conspire	v. 合作;密谋
constable	n. 警察;警官
constancy	n. 坚定不移;忠实
constant	adj. 不断的;忠实的\nn. 常数;常项
constipate	v. 限制;便秘
constitute	v. 设立;制定
constrain	v. 强迫;限制
constraint	n. 克制;强迫
constrict	v. 束紧;抑制
construct	n. 观念;建造物\nv. 建造;作
construe	v. 解释;推断
consul	n. 领事;执政官
consulate	n. 领事馆;领事任期
consult	v. 查阅;考虑
consultant	n. 顾问;会诊医师
consume	v. 吃完;毁灭
consumer	n. 消费者;消耗的
consummate	adj. 造诣极高的\nv. 完;完成
contact	n. 接触;熟人\nv. 使接触;接触
contagion	n. 触染;触染病
contagious	adj. 触染性的
contain	v. 包含;可包含
container	n. 容量;容器
contempt	n. 耻辱;蔑视
contend	v. 声称;辩论
content	adj. 高兴的;满意的\nn. 内容;满意\nv. 使满意
contest	n. 竞赛;争夺\nv. 竞赛
context	n. 上下文
contiguous	adj. 共边的;紧接的
continent	n. 洲;大陆
contingent	adj. 附带的;可能的\nn. 分得部分;分遣队
continual	adj. 多次重复的
continue	v. 继续;延伸
continuity	n. 继续
continuous	adj. 延续的
contort	v. 扭曲
contour	adj. 沿等高线作业的\nn. 轮廓;外形\nv. 循等高线修筑
contraband	adj. 遭禁的\nn. 违禁品;走私
contract	n. 合同;合同法\nv. 缩约;皱缩
contractor	n. 订约人;庄家;承包商
contradict	v. 反驳;否认
contralto	adj. 女低音\nn. 女低音
contrary	adj. 对方的;逆向的\nadv. 相反地\nn. 反面;相反
contrast	n. 对比;悬殊差别\nv. 使成对比
contravene	v. 反驳;与...相抵触
contribute	v. 捐;投
contrite	adj. 悔罪的
contrive	v. 发明;谋划
control	n. 管制;指挥\nv. 统制;抑制
controller	n. 控制者;审计员
contumely	n. 傲慢;侮辱行为
contuse	v. 挫伤;捣
conundrum	n. 谜语
convection	n. 传送;对流
convene	v. 召集开会;集会
convenient	adj. 近处的;省力的
convent	n. 女隐修会;女隐修院
convention	n. 会议;召集
converge	v. 会合;聚集
conversant	adj. 熟识的;熟悉的
converse	adj. 颠倒的;相反的\nn. 社交;谈话\nv. 交谈
conversion	n. 折合;转变
convert	n. 归附者\nv. 使转变;转变
convex	adj. 凸的
convey	v. 表达;传送
conveyance	n. 传送;运送
conveyor	n. 传达者;传送带
convict	adj. 悔罪的\nn. 斑马;已决犯\nv. 证明...有罪
conviction	n. 定罪;确信
convince	v. 使确信;使知错
convivial	adj. 酒宴的
convoke	v. 召集...开会
convoluted	adj. 扭曲的
convoy	n. 护航舰队;护航\nv. 护航;为...引路
convulse	v. 抖动;震撼
cony	n. 兔子
cook	n. 厨子;蒸煮\nv. 烹调;烧
cooker	n. 厨子;炊具
cookery	n. 烹饪处;烹饪术
cool	adj. 冷静的;凉的\nn. 冷淡;冷静\nv. 变凉;减缓
cooperate	v. 合作
cop	n. 抓;顶\nv. 攫;偷
cope	n. 顶点\nv. 应付;对付
copier	n. 抄袭者;复印机
copious	adj. 多产的;丰富的
copper	n. 铜;铜币
coppice	n. 灌木林
copula	n. 联桁;连接
copulate	v. 交媾;连接
copy	n. 本;原件\nv. 抄袭;抄写
copyright	n. 版权\nv. 以版权保护
corduroy	n. 灯芯绒;木排路
core	n. 果心;团\nv. 小偷小摸
cork	n. 瓶塞;栓皮\nv. 给...装软木;克制
corn	n. 谷粒;鸡眼
cornea	n. 角膜
corner	n. 包角;角\nv. 垄断;转弯
cornet	n. 短号;音栓
cornflake	n. 玉米片
corolla	n. 花冠
corollary	adj. 具有推断性质的\nn. 推断;系
corona	n. 华;日冕
coroner	n. 验尸官
corporal	adj. 个人的;躯干的\nn. 下士;圣餐布
corporate	adj. 全体的;社团的
corps	n. 队;军;特种部队
corpse	n. 残骸;躯体
corpulent	adj. 肥胖的
corpuscle	n. 微粒;细胞;血球
corral	n. 车阵;人肉庄
correct	adj. 正当的;正确的\nv. 惩治;改正
correction	n. 惩治;改正
corrective	adj. 改正的\nn. 纠正物
correlate	n. 互为关联的事物\nv. 相关
correspond	v. 通信;相当
corridor	n. 车厢走廊;走廊
corrode	v. 腐蚀;损害
corrosion	n. 腐蚀;渐衰
corrosive	adj. 腐蚀的;有害的\nn. 腐蚀剂;有害因素
corrugate	v. 使起皱;起皱
corrupt	adj. 堕落的\nv. 讹用;腐蚀
corruption	n. 堕落;讹误
corsair	n. 海盗;海盗船
corset	n. 紧身褡;围腰
cos	n. 余弦符号
cosine	n. 余弦
cosmetic	adj. 化妆品的;整容的\nn. 化妆品的
cosmic	adj. 宇宙的
cosmonaut	n. 宇航员
cosmos	n. 宇宙;秩序
cost	n. 代价;价钱\nv. 价钱为;使付出
costly	adj. 昂贵的;豪华的
costume	adj. 与服装匹配的\nn. 成套服装;戏装\nv. 为...提供服装
cosy	adj. 自得的\nn. 保暖罩
cot	n. 棚;套
cotangent	n. 余切
cottage	n. 别墅;小屋
cotton	n. 棉;棉树\nv. 娇惯;领会
couch	n. 长榻;眠床\nv. 表达;平握
cough	n. 咳;咳嗽病\nv. 咳;认罪
council	n. 会议;理事会
councillor	n. 参赞;顾问;理事
counsel	n. 律师;协商\nv. 劝告;交换意见
counsellor	n. 参赞;顾问
count	n. 计算;数数\nv. 数;值
countdown	n. 倒读数;准备过程
counter	n. 筹码;柜台\nv. 反对;还击
counteract	v. 对...起反作用
countess	n. 伯爵夫人;女伯爵
countless	adj. 无数的
country	n. 地区;国
countryman	n. 某地人;同胞
county	n. 郡;县
coup	n. 棒击;一击;策略;政变\nv. 打翻;倒空
couple	adj. 两个\nn. 夫妻;一对\nv. 联想;连接
coupon	n. 联票;配给券
courage	n. 勇敢
courageous	adj. 英勇的
courier	n. 传令兵;信使
course	n. 进行;行动方向\nv. 追;跑
court	n. 法庭;球场\nv. 招致;求爱
courteous	adj. 谦恭有礼的
courtesy	n. 好意;谦恭有礼
courtly	adj. 典雅的;谄媚的\nadv. 以宫廷气派
courtship	n. 奉承;求婚
courtyard	n. 院子
cousin	n. 堂兄弟;远亲
covenant	n. 盖印合同;盟约\nv. 立约保证;订立盟约
cover	n. 书壳;掩蔽\nv. 盖;代替
coverage	n. 保证金;覆盖
coverlet	n. 床罩;覆盖物
covert	adj. 掩盖的;隐蔽的\nn. 覆羽;隐蔽
covet	v. 渴望;贪求
cow	n. 母牛;牛\nv. 吓唬;截短
coward	n. 胆小的马;胆小鬼
cowboy	n. 放牛娃;牧牛工
cower	v. 蹲;蜷缩
cowherd	n. 牧牛人
cox	v. 担任舵手
coy	adj. 害羞的\nv. 爱抚;害羞
coyote	n. 丛林狼;人形精怪
crab	n. 蟹\nv. 抓;抱怨
crack	n. 裂缝;瑕疵\nv. 砸开;变粗
crackle	n. 异彩;噼啪声\nv. 使爆裂;闪烁
cradle	n. 策源地;摇篮\nv. 抚育
craft	n. 工艺;行会\nv. 精心制作
craftsman	n. 工匠
crag	n. 险崖;颈
craggy	adj. 陡峭的;毛糙的
cram	n. 极度拥挤;死记硬背\nv. 把...塞进;把...塞满
cramp	n. 绞痛;痉挛\nv. 把...关住;痉挛
cranberry	n. 越橘
crane	n. 水鹤;支架\nv. 起吊;伸长
crank	adj. 不稳的;怪人的\nn. 怪人;曲柄\nv. 曲折行进;转动曲柄
cranky	adj. 暴躁的;古怪的
